datetime,leg_point,lat,lon,hs_m,tp_s,wave_dir_deg,u10_ms,v10_ms
2025-01-03 02:00:00,0,51.95000000000001,4.05,1.4606187,6.722023,321.29965,5.9483643,-4.456482
2025-01-03 03:00:00,0,51.95000000000001,4.05,1.476287,6.7259293,319.9851,6.9384766,-4.141678
2025-01-03 04:00:00,0,51.95000000000001,4.05,1.5370865,6.696144,317.167,8.334152,-4.170532
2025-01-03 05:00:00,0,51.95000000000001,4.05,1.6407107,6.637062,313.5399,9.152954,-3.8373718
2025-01-03 06:00:00,0,51.95000000000001,4.05,1.729536,6.6116714,310.5874,9.364838,-3.0859833
2025-01-03 07:00:00,0,51.95000000000001,4.05,1.7785264,6.642433,308.53516,9.484314,-2.7557983
2025-01-03 08:00:00,0,51.95000000000001,4.05,1.8068175,6.6829605,307.41473,9.308929,-3.0029755
2025-01-03 09:00:00,0,51.95000000000001,4.05,1.8274513,6.725441,306.98618,9.187622,-3.2113342
2025-01-03 10:00:00,0,51.95000000000001,4.05,1.8532188,6.7630386,307.18042,9.066544,-3.520935
2025-01-03 11:00:00,0,51.95000000000001,4.05,1.8977429,6.79673,307.8215,9.073257,-4.024246
2025-01-03 12:00:00,0,51.95000000000001,4.05,1.9491022,6.824074,308.92035,9.102066,-4.9256134
2025-01-03 13:00:00,0,51.95000000000001,4.05,1.977254,6.8406754,310.52505,8.333221,-5.5295258
2025-01-03 14:00:00,0,51.95000000000001,4.05,1.9412044,6.857277,312.35938,7.4835815,-5.518219
2025-01-03 15:00:00,0,51.95000000000001,4.05,1.8753753,6.8665543,313.9373,7.0679474,-5.5668793
2025-01-03 16:00:00,0,51.95000000000001,4.05,1.8028754,6.8602066,315.2357,6.6460266,-5.892105
2025-01-03 17:00:00,0,51.95000000000001,4.05,1.7347742,6.8426285,316.34753,5.852951,-5.839325
2025-01-03 18:00:00,0,51.95000000000001,4.05,1.6706012,6.819191,317.47046,5.078598,-5.3898926
2025-01-03 19:00:00,0,51.95000000000001,4.05,1.6039393,6.79673,318.6433,4.5533295,-5.1243286
2025-01-03 20:00:00,0,51.95000000000001,4.05,1.5309482,6.7801285,319.81677,4.0494843,-4.625534
2025-01-03 21:00:00,0,51.95000000000001,4.05,1.4585401,6.770363,320.9465,3.9219513,-4.0959015
2025-01-03 22:00:00,0,51.95000000000001,4.05,1.3842229,6.770851,322.2382,2.961914,-3.6960297
2025-01-03 23:00:00,0,51.95000000000001,4.05,1.3132641,6.776222,323.46884,3.2290955,-3.0782166
2025-01-04 00:00:00,0,51.95000000000001,4.05,1.2486757,6.7903824,324.61063,3.631897,-2.5637817
2025-01-04 01:00:00,0,51.95000000000001,4.05,1.1916983,6.812355,325.61026,3.861847,-2.1658325
2025-01-04 02:00:00,0,51.95000000000001,4.05,1.1422126,6.839699,326.4242,3.816513,-1.8459625
2025-01-04 03:00:00,0,51.95000000000001,4.05,1.0963911,6.8689957,327.20587,3.8047943,-1.372757
2025-01-04 04:00:00,0,51.95000000000001,4.05,1.0542073,6.8968277,327.9513,3.846817,-0.7243805
2025-01-04 05:00:00,0,51.95000000000001,4.05,1.0164479,6.9207535,328.50912,3.6945648,0.13336182
2025-01-04 06:00:00,0,51.95000000000001,4.05,0.983494,6.939308,328.8162,3.5098724,1.2439575
2025-01-04 07:00:00,0,51.95000000000001,4.05,0.95663595,6.9524918,328.57822,3.4160614,2.2082672
2025-01-04 08:00:00,0,51.95000000000001,4.05,0.9351565,6.9607925,327.73157,3.486969,3.0790253
2025-01-04 09:00:00,0,51.95000000000001,4.05,0.924904,6.964699,325.57797,3.7901154,3.9098053
2025-01-04 10:00:00,0,51.95000000000001,4.05,0.9220102,6.966652,321.94882,4.243088,4.0240326
2025-01-04 11:00:00,0,51.95000000000001,4.05,0.9339686,6.961281,316.42224,5.118149,4.083008
2025-01-04 12:00:00,0,51.95000000000001,4.05,0.9502921,12.992043,310.00528,5.169449,3.808136
2025-01-04 13:00:00,0,51.95000000000001,4.05,0.9474796,4.3040543,306.58624,4.612686,3.4163055
2025-01-04 14:00:00,0,51.95000000000001,4.05,0.9296989,4.393898,305.46045,3.6723175,3.659546
2025-01-04 15:00:00,0,51.95000000000001,4.05,0.90289026,4.473976,305.7599,2.566574,4.076309
2025-01-04 16:00:00,0,51.95000000000001,4.05,0.8750974,4.5267105,306.57965,1.1464691,4.487137
2025-01-04 17:00:00,0,51.95000000000001,4.05,0.85047156,4.553566,307.3222,0.15345764,4.9277954
2025-01-04 18:00:00,0,51.95000000000001,4.05,0.8268152,12.573097,308.34723,-0.6431122,5.0580444
2025-01-04 19:00:00,0,51.95000000000001,4.05,0.8057812,12.478859,309.49448,-1.477768,4.9496765
