Rn,2000000,,
,,,
J,KT,KQ,ηO
0,0.333,0.0391,0
0.01,0.33,0.0389,0.014
0.02,0.328,0.0386,0.027
0.03,0.326,0.0384,0.04
0.04,0.323,0.0382,0.054
0.05,0.321,0.0379,0.067
0.06,0.318,0.0377,0.081
0.07,0.316,0.0375,0.094
0.08,0.313,0.0372,0.107
0.09,0.311,0.037,0.12
0.1,0.308,0.0367,0.133
0.11,0.305,0.0365,0.147
0.12,0.302,0.0362,0.16
0.13,0.3,0.0359,0.173
0.14,0.297,0.0357,0.185
0.15,0.294,0.0354,0.198
0.16,0.291,0.0351,0.211
0.17,0.288,0.0349,0.224
0.18,0.285,0.0346,0.236
0.19,0.282,0.0343,0.249
0.2,0.279,0.034,0.261
0.21,0.276,0.0337,0.273
0.22,0.273,0.0334,0.286
0.23,0.27,0.0332,0.298
0.24,0.267,0.0329,0.31
0.25,0.263,0.0326,0.322
0.26,0.26,0.0322,0.334
0.27,0.257,0.0319,0.345
0.28,0.253,0.0316,0.357
0.29,0.25,0.0313,0.369
0.3,0.247,0.031,0.38
0.31,0.243,0.0307,0.391
0.32,0.24,0.0303,0.402
0.33,0.236,0.03,0.413
0.34,0.233,0.0297,0.424
0.35,0.229,0.0293,0.435
0.36,0.225,0.029,0.446
0.37,0.222,0.0286,0.456
0.38,0.218,0.0283,0.466
0.39,0.214,0.0279,0.477
0.4,0.211,0.0276,0.486
0.41,0.207,0.0272,0.496
0.42,0.203,0.0268,0.506
0.43,0.199,0.0265,0.515
0.44,0.196,0.0261,0.525
0.45,0.192,0.0257,0.534
0.46,0.188,0.0253,0.543
0.47,0.184,0.0249,0.551
0.48,0.18,0.0246,0.56
0.49,0.176,0.0242,0.568
0.5,0.172,0.0238,0.576
0.51,0.168,0.0233,0.583
0.52,0.164,0.0229,0.591
0.53,0.16,0.0225,0.598
0.54,0.156,0.0221,0.605
0.55,0.151,0.0217,0.611
0.56,0.147,0.0213,0.617
0.57,0.143,0.0208,0.623
0.58,0.139,0.0204,0.629
0.59,0.135,0.0199,0.634
0.6,0.13,0.0195,0.638
0.61,0.126,0.019,0.643
0.62,0.122,0.0186,0.646
0.63,0.117,0.0181,0.65
0.64,0.113,0.0177,0.652
0.65,0.109,0.0172,0.654
0.66,0.104,0.0167,0.656
0.67,0.1,0.0162,0.656
0.68,0.095,0.0157,0.656
0.69,0.091,0.0152,0.655
0.7,0.086,0.0148,0.653
0.71,0.082,0.0143,0.65
0.72,0.077,0.0137,0.646
0.73,0.073,0.0132,0.64
0.74,0.068,0.0127,0.633
0.75,0.064,0.0122,0.625
0.76,0.059,0.0117,0.614
0.77,0.055,0.0111,0.601
0.78,0.05,0.0106,0.586
0.79,0.045,0.0101,0.568
0.8,0.041,0.0095,0.546
0.81,0.036,0.009,0.519
0.82,0.031,0.0084,0.488
0.83,0.027,0.0078,0.45
0.84,0.022,0.0073,0.405
0.85,0.017,0.0067,0.35
0.86,0.013,0.0061,0.281
0.87,0.008,0.0055,0.196
0.88,0.003,0.0049,0.087
