0_datetime,1_Pickup11,2_Fuel_eff,3_ME_tot_FL,4_Nav_02,5_Nav_03,6_Nav_04,7_Fuel_Index,8_MSB0-TOT-LOD,9_MS114,10_MW014,11_Trim_in_meters,12_LIST,13_ballast,14_ECDIS_COG,15_Uwind,16_Vwind,17_Gust,18_Significant_wave_height,19_Wave_direction,20_Wave_period,21_struja_smjer_deg,22_struja_brzina,23_sea,24_swell,25_wind,26_wind_deg_ecdis,27_Prop_slip
12/31/2016 12:40,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,639.0715667,27.21856867,16.13152805,-0.015444015,-0.066408769,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 12:45,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,618.9555126,27.27659574,16.13152805,-0.015444015,-0.072008842,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 12:50,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,986.4603482,27.27659574,16.47969052,-0.015444015,-0.072008842,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 12:57,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1508.704062,27.15888367,16.13152805,-0.015444015,-0.074661509,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:03,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1508.704062,27.11411992,16.13152805,-0.015444015,-0.074661509,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:08,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1632.495164,27.14893617,16.13152805,-0.027027027,-0.074661509,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:13,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1667.311412,27.16634429,16.13152805,-0.027027027,-0.074661509,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:18,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1667.311412,27.16634429,16.07350097,-0.027027027,-0.074661509,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:23,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1667.311412,27.16634429,16.07350097,-0.027027027,-0.05078751,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 13:28,-1,33.72093023,11.51716501,0.522243714,178.7234043,4.236641221,4.525627045,1667.311412,27.23597679,16.13152805,-0.027027027,-0.039587363,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
